Platform,2.41489,778.402,1918.78,243.706
Platform,568.218,632.468,49.8,45.6001
Platform,642.885,566.541,50,50
Platform,711.826,500.692,50,50
Platform,777.177,433.486,50,50
Platform,847.048,366.197,50,50
Platform,948.848,364.913,178.602,50
Collectable,1304.26,-54.3149,50,50
Collectable,1125.77,-57.5745,50,50
Collectable,775.788,378.879,50,50
Collectable,711.134,447.479,50,50
Collectable,642.071,511.755,50,50
Collectable,568.694,574.853,50,50
Platform,3.39499,726.407,1914.88,50
Collectable,847.208,312.282,50,50
Collectable,948.82,309.028,50,50
Collectable,1012.04,308.792,50,50
Collectable,1074.5,308.966,50,50
